OudRondeNr,NieuwRondeNr,PctNieuw
Res-096,Res-103,100
Res-094,Res-153,78
Res-205,Res-153,22
Res-092,Res-104,50
Res-096,Res-104,35
Res-007,Res-104,9
Res-094,Res-104,7
Res-094,Res-154,59
Res-092,Res-154,41
Res-090,Res-105,69
Res-092,Res-105,31
Res-090,Res-155,55
Res-014,Res-155,45
Res-089,Res-106,65
Res-087,Res-106,35
Res-101,Res-156,50
Res-014,Res-156,19
Res-087,Res-156,16
Res-109,Res-156,12
Res-089,Res-156,3
Res-087,Res-107,88
Res-086,Res-107,12
Res-086,Res-157,58
Res-088,Res-157,42
Res-069,Res-108,33
Res-033,Res-108,31
Res-085,Res-108,24
Res-086,Res-108,12
Res-085,Res-158,100
Res-086,Res-109,100
Res-050,Res-159,100
Res-069,Res-110,94
Res-033,Res-110,6
Res-046,Res-160,56
Res-050,Res-160,44
Res-041,Res-111,68
Res-059,Res-111,31
Res-038,Res-111,1
Res-046,Res-161,67
Res-068,Res-161,33
Res-045,Res-112,80
Res-033,Res-112,15
Res-034,Res-112,3
Res-050,Res-112,1
Res-068,Res-162,92
Res-046,Res-162,8
Res-053,Res-113,74
Res-045,Res-113,25
Res-068,Res-113,1
Res-053,Res-163,51
Res-068,Res-163,25
Res-058,Res-163,14
Res-055,Res-163,11
Res-034,Res-114,54
Res-045,Res-114,23
Res-058,Res-114,23
Res-055,Res-164,95
Res-061,Res-164,5
Res-059,Res-115,100
Res-040,Res-165,79
Res-061,Res-165,16
Res-059,Res-165,5
Res-038,Res-116,100
Res-040,Res-166,56
Res-041,Res-166,44
Res-051,Res-117,73
Res-038,Res-117,21
Res-059,Res-117,7
Res-061,Res-167,100
Res-040,Res-167,0
Res-303,Res-201,52
Res-302,Res-201,48
Res-301,Res-251,100
Res-305,Res-292,79
Res-016,Res-292,20
Res-314,Res-292,1
Res-312,Res-252,75
Res-313,Res-252,25
Res-314,Res-203,69
Res-315,Res-203,21
Res-096,Res-203,5
Res-305,Res-203,5
Res-312,Res-253,57
Res-304,Res-253,43
Res-315,Res-204,71
Res-305,Res-204,29
Res-313,Res-254,42
Res-301,Res-254,33
Res-315,Res-254,25
Res-314,Res-205,55
Res-313,Res-205,45
Res-311,Res-255,60
Res-317,Res-255,40
Res-303,Res-206,100
Res-316,Res-256,82
Res-319,Res-256,18
Res-304,Res-207,79
Res-313,Res-207,21
Res-302,Res-207,0
Res-317,Res-257,74
Res-316,Res-257,26
Res-302,Res-208,61
Res-318,Res-208,25
Res-304,Res-208,14
Res-311,Res-208,0
Res-319,Res-258,92
Res-316,Res-258,8
Res-318,Res-209,76
Res-303,Res-209,15
Res-302,Res-209,5
Res-205,Res-209,4
Res-311,Res-259,48
Res-318,Res-259,24
Res-320,Res-259,18
Res-319,Res-259,7
Res-202,Res-259,4
Res-205,Res-210,83
Res-202,Res-210,17
Res-320,Res-260,90
Res-318,Res-260,9
Res-311,Res-260,1
Res-202,Res-211,79
Res-201,Res-211,21
Res-213,Res-261,57
Res-214,Res-261,24
Res-215,Res-261,19
Res-203,Res-212,77
Res-201,Res-212,23
Res-217,Res-262,66
Res-204,Res-262,30
Res-209,Res-262,5
Res-090,Res-213,54
Res-203,Res-213,34
Res-115,Res-213,11
Res-213,Res-263,62
Res-116,Res-263,31
Res-115,Res-263,7
Res-204,Res-214,61
Res-209,Res-214,21
Res-201,Res-214,18
Res-204,Res-264,65
Res-202,Res-264,32
Res-209,Res-264,4
Res-201,Res-215,100
Res-217,Res-265,100
Res-203,Res-216,52
Res-205,Res-216,48
Res-209,Res-266,100
Res-218,Res-217,94
Res-203,Res-217,6
Res-215,Res-267,100
Res-115,Res-218,94
Res-213,Res-218,6
Res-214,Res-268,100
Res-111,Res-219,77
Res-110,Res-219,23
Res-107,Res-269,98
Res-111,Res-269,2
Res-109,Res-220,100
Res-116,Res-270,60
Res-114,Res-270,40
Res-101,Res-221,57
Res-108,Res-221,43
Res-107,Res-271,57
Res-104,Res-271,35
Res-102,Res-271,8
Res-108,Res-222,100
Res-104,Res-272,91
Res-108,Res-272,5
Res-103,Res-272,4
Res-110,Res-223,61
Res-115,Res-223,27
Res-109,Res-223,12
Res-111,Res-273,43
Res-102,Res-273,41
Res-104,Res-273,14
Res-107,Res-273,3
Res-103,Res-224,31
Res-110,Res-224,26
Res-101,Res-224,23
Res-111,Res-224,20
Res-102,Res-274,67
Res-103,Res-274,33
Res-109,Res-225,46
Res-110,Res-225,43
Res-101,Res-225,11
Res-114,Res-275,82
Res-111,Res-275,18
