RondeKey,DienstNr,DagType,Type,Zone,Gemeente,Voertuig,BeginUur,EindUur,Opmerking,HeeftDepRit,HeeftExtraTaak,VrijeDag
JM018,18,dag 2,dense,9300,Aalst,Auto,08:00,16:06,P3 centrum zone B en shunting,False,True,
JL049,49,dag 1,dense,NVT,NVT,NVT,07:00,15:06,collectief cleaning consessionaris,False,True,
JM049,49,dag 2,dense,NVT,NVT,NVT,07:00,15:06,collectief cleaning concessionaris,False,True,
JL101,101,dag 1,dense,9308/9310/9320,Eremb,Auto/E-bike,08:00,16:06,Dep PP en bpack Hogeweg,True,False,
JM101,101,dag 2,dense,9308/9310/9320,Eremb,Auto/E-bike,08:00,16:06,Dep PP en bpack Hogeweg,True,False,
JL102,102,dag 1,dense,9308/9310/9320,Herde,Auto/E-bike,08:00,16:06,Dep PP Geensbeekstraat,True,False,
JM102,102,dag 2,dense,9308/9310/9320,Melde/Moors,Auto/E-bike,08:00,16:06,Dep PP Geensbeekstraat,True,False,
JL103,103,dag 1,dense,9308/9310/9320,Nieuw,Auto/E-bike,08:00,16:06,,False,False,
JM103,103,dag 2,dense,9308/9310/9320,Nieuw,Auto/E-bike,08:00,16:06,,False,False,
JL104,104,dag 1,dense,9308/9310/9320,Nieuw,Auto,08:00,16:06,,False,False,
JM104,104,dag 2,dense,9308/9310/9320,Nieuw,Auto/E-bike,08:00,16:06,,False,False,
JL105,105,dag 1,dense,9308/9310/9320,Eremb/Nieuw,Auto,08:00,16:06,,False,False,
JM105,105,dag 2,dense,9308/9310/9320,Eremb,Auto/E-bike,08:00,16:06,,False,False,
JL106,106,dag 1,dense,9308/9310/9320,Eremb,Auto/E-bike,08:00,16:06,,False,False,
JM106,106,dag 2,dense,9308/9310/9320,Eremb/Welle,Auto/E-bike,08:00,16:06,uitreiking 1/4 Denderleeuw,False,True,
JL107,107,dag 1,dense,9308/9310/9320,Eremb,Auto/E-bike,08:00,16:06,,False,False,
JM107,107,dag 2,dense,9308/9310/9320,Eremb,Auto,08:00,16:06,,False,False,
JL108,108,dag 1,dense,9308/9310/9320,Aalst/Eremb,Auto/E-bike,08:00,16:06,uitreiking 1/2 9300 Aalst,False,True,
JM108,108,dag 2,dense,9308/9310/9320,Eremb,Auto,08:00,16:06,,False,False,
JL109,109,dag 1,dense,9308/9310/9320,Eremb,Auto/E-bike,08:00,16:06,,False,False,
JM109,109,dag 2,dense,9308/9310/9320,Melde,Auto,08:00,16:06,,False,False,
JL110,110,dag 1,dense,9308/9310/9320,Aalst,Auto/E-bike,08:00,16:06,uitreiking volledig 9300 Aalst,False,True,
JM110,110,dag 2,dense,9308/9310/9320,Melde,Auto/E-bike,08:00,16:06,,False,False,
JL111,111,dag 1,dense,9308/9310/9320,Hofst,Auto/E-bike,08:00,16:06,,False,False,
JM111,111,dag 2,dense,9308/9310/9320,Baard,Auto/E-bike,08:00,16:06,,False,False,
JL112,112,dag 1,dense,9308/9310/9320,Moors,Auto/E-bike,08:00,16:06,,False,False,
JM112,112,dag 2,dense,9308/9310/9320,Baard/Moors,Auto,08:00,16:06,,False,False,
JL113,113,dag 1,dense,9308/9310/9320,Moors,Auto/E-bike,08:00,16:06,,False,False,
JM113,113,dag 2,dense,9308/9310/9320,Moors/Herde,Auto/E-bike,08:00,16:06,,False,False,
JL114,114,dag 1,dense,9308/9310/9320,Moors,Auto,08:00,16:06,,False,False,
JM114,114,dag 2,dense,9308/9310/9320,Herde,Auto/E-bike,08:00,16:06,,False,False,
JL115,115,dag 1,dense,9308/9310/9320,Hofst,Auto/E-bike,08:00,16:06,,False,False,
JM115,115,dag 2,dense,9308/9310/9320,Gijze,Auto/E-bike,08:00,16:06,,False,False,
JL116,116,dag 1,dense,9308/9310/9320,Hofst,Auto/E-bike,08:00,16:06,,False,False,
JM116,116,dag 2,dense,9308/9310/9320,Hofst/Gijze,Auto/E-bike,08:00,16:06,,False,False,
JL117,117,dag 1,dense,9308/9310/9320,Hofst,Auto,08:00,16:06,,False,False,
JM117,117,dag 2,dense,9308/9310/9320,Gijze,Auto,08:00,16:06,,False,False,
JL201,201,dag 1,dense,EM/HA/DL,ErpeM,Auto/E-bike,08:00,16:06,Dep retail Erpe-Mere,True,False,
JM201,201,dag 2,dense,EM/HA/DL,ErpeM,Auto/E-bike,08:00,16:06,Dep retail Erpe-Mere,True,False,
JL202,202,dag 1,dense,EM/HA/DL,ErpeM,Auto/E-bike,08:00,16:06,,False,False,
JM202,202,dag 2,dense,EM/HA/DL,ErpeM,Auto,08:00,16:06,,False,False,
JL203,203,dag 1,dense,EM/HA/DL,ErpeM,Auto/E-bike,08:00,16:06,,False,False,
JM203,203,dag 2,dense,EM/HA/DL,ErpeM,Auto/E-bike,08:00,16:06,,False,False,
JL204,204,dag 1,dense,EM/HA/DL,ErpeM,Auto/E-bike,08:00,16:06,,False,False,
JM204,204,dag 2,dense,EM/HA/DL,ErpeM,Auto/E-bike,08:00,16:06,,False,False,
JL205,205,dag 1,dense,EM/HA/DL,ErpeM,Auto/E-bike,08:00,16:06,,False,False,
JM205,205,dag 2,dense,EM/HA/DL,ErpeM,Auto/E-bike,08:00,16:06,,False,False,
JL206,206,dag 1,dense,EM/HA/DL,ErpeM/Nieuw,Auto/E-bike,08:00,16:06,uitreiking klein deel Nieuwerkerken,False,True,
JM206,206,dag 2,dense,EM/HA/DL,ErpeM,Auto/E-bike,08:00,16:06,,False,False,
JL207,207,dag 1,dense,EM/HA/DL,ErpeM,Auto/E-bike,08:00,16:06,,False,False,
JM207,207,dag 2,dense,EM/HA/DL,ErpeM,Auto/E-bike,08:00,16:06,,False,False,
JL208,208,dag 1,dense,EM/HA/DL,ErpeM,Auto/E-bike,08:00,16:06,,False,False,
JM208,208,dag 2,dense,EM/HA/DL,ErpeM,Auto/E-bike,08:00,16:06,,False,False,
JL209,209,dag 1,dense,EM/HA/DL,ErpeM,Auto,08:00,16:06,,False,False,
JM209,209,dag 2,dense,EM/HA/DL,ErpeM,Auto,08:00,16:06,,False,False,
JL210,210,dag 1,dense,EM/HA/DL,Haalt,Auto/E-bike,08:00,16:06,,False,False,
JM210,210,dag 2,dense,EM/HA/DL,ErpeM,Auto/E-bike,08:00,16:06,,False,False,
JL211,211,dag 1,dense,EM/HA/DL,Haalt,Auto,08:00,16:06,Dep retail Haaltert,True,False,
JM211,211,dag 2,dense,EM/HA/DL,Haalt,Auto,08:00,16:06,Dep retail Haaltert,True,False,
JL212,212,dag 1,dense,EM/HA/DL,Haalt,Auto,08:00,16:06,Dep PP Schoolstr HA en PP+Bpack Steenweg,True,False,
JM212,212,dag 2,dense,EM/HA/DL,Haalt,Auto/E-bike,08:00,16:06,Dep PP Schoolstr HA en PP+Bpack Steenweg,True,False,
JL213,213,dag 1,dense,EM/HA/DL,Haalt,Auto/E-bike,08:00,16:06,,False,False,
JM213,213,dag 2,dense,EM/HA/DL,Dende,Auto/E-bike,08:00,16:06,,False,False,
JL214,214,dag 1,dense,EM/HA/DL,Haalt,Auto/E-bike,08:00,16:06,,False,False,
JM214,214,dag 2,dense,EM/HA/DL,Haalt,Auto,08:00,16:06,,False,False,
JL215,215,dag 1,dense,EM/HA/DL,Haalt,Auto/E-bike,08:00,16:06,,False,False,
JM215,215,dag 2,dense,EM/HA/DL,Haalt,Auto,08:00,16:06,,False,False,
JL216,216,dag 1,dense,EM/HA/DL,Haalt,Auto/E-bike,08:00,16:06,,False,False,
JM216,216,dag 2,dense,EM/HA/DL,Haalt,Auto/E-bike,08:00,16:06,,False,False,
JL217,217,dag 1,dense,EM/HA/DL,Haalt,Auto/E-bike,08:00,16:06,,False,False,
JM217,217,dag 2,dense,EM/HA/DL,Haalt,Auto,08:00,16:06,,False,False,
JL218,218,dag 1,dense,EM/HA/DL,Haalt,Auto/E-bike,08:00,16:06,,False,False,
JM218,218,dag 2,dense,EM/HA/DL,Haalt,Auto,08:00,16:06,,False,False,
JL219,219,dag 1,dense,EM/HA/DL,Dende,Auto,08:00,16:06,Dep retail Denderleeuw,True,False,
JM219,219,dag 2,dense,EM/HA/DL,Dende,Auto/E-bike,08:00,16:06,Dep retail Denderleeuw,True,False,
JL220,220,dag 1,dense,EM/HA/DL,Dende,Auto,08:00,16:06,Dep PP en bpack Steenweg 513,True,False,
JM220,220,dag 2,dense,EM/HA/DL,Dende,Auto/E-bike,08:00,16:06,Dep PP en bpack Steenweg 513,True,False,
JL221,221,dag 1,dense,EM/HA/DL,Dende,Auto/E-bike,08:00,16:06,,False,False,
JM221,221,dag 2,dense,EM/HA/DL,Dende,Auto/E-bike,08:00,16:06,,False,False,
JL222,222,dag 1,dense,EM/HA/DL,Dende,Auto/E-bike,08:00,16:06,,False,False,
JM222,222,dag 2,dense,EM/HA/DL,Dende,Auto/E-bike,08:00,16:06,,False,False,
JL223,223,dag 1,dense,EM/HA/DL,Dende,Auto/E-bike,08:00,16:06,,False,False,
JM223,223,dag 2,dense,EM/HA/DL,Dende,Auto/E-bike,08:00,16:06,,False,False,
JL224,224,dag 1,dense,EM/HA/DL,Dende,Auto/E-bike,08:00,16:06,,False,False,
JM224,224,dag 2,dense,EM/HA/DL,Dende,Auto/E-bike,08:00,16:06,,False,False,
JL225,225,dag 1,dense,EM/HA/DL,Dende,Auto/E-bike,08:00,16:06,,False,False,
JM225,225,dag 2,dense,EM/HA/DL,Dende,Auto/E-bike,08:00,16:06,,False,False,
JT301,301,elke dag,non-dense,dynamisch,dynamisch,auto,09:45,17:51,PakSat aanvang 8u20- Vrije dag: maandag,False,False,maandag
JT302,302,elke dag,non-dense,dynamisch,dynamisch,auto,09:45,17:51,PakSat aanvang 8u20- Vrije dag: maandag,False,False,maandag
JT303,303,elke dag,non-dense,dynamisch,dynamisch,auto,09:45,17:51,PakSat aanvang 8u20- Vrije dag: maandag,False,False,maandag
JT304,304,elke dag,non-dense,dynamisch,dynamisch,auto,09:45,17:51,PakSat aanvang 8u20- Vrije dag: maandag,False,False,maandag
JT305,305,elke dag,non-dense,dynamisch,dynamisch,auto,09:45,17:51,PakSat aanvang 8u20- Vrije dag: dinsdag,False,False,dinsdag
JT306,306,elke dag,non-dense,dynamisch,dynamisch,auto,09:45,17:51,PakSat aanvang 8u20- Vrije dag: dinsdag,False,False,dinsdag
JT307,307,elke dag,non-dense,dynamisch,dynamisch,auto,09:45,17:51,PakSat aanvang 8u20- Vrije dag: dinsdag,False,False,dinsdag
JT308,308,elke dag,non-dense,dynamisch,dynamisch,auto,09:45,17:51,PakSat aanvang 8u20- Vrije dag: woensdag,False,False,woensdag
JT309,309,elke dag,non-dense,dynamisch,dynamisch,auto,09:45,17:51,PakSat aanvang 8u20- Vrije dag: woensdag,False,False,woensdag
JT310,310,elke dag,non-dense,dynamisch,dynamisch,auto,09:45,17:51,PakSat aanvang 8u20- Vrije dag: woensdag,False,False,woensdag
JT311,311,elke dag,non-dense,dynamisch,dynamisch,auto,09:45,17:51,PakSat aanvang 8u20- Vrije dag: donderdag,False,False,donderdag
JT312,312,elke dag,non-dense,dynamisch,dynamisch,auto,09:45,17:51,PakSat aanvang 8u20- Vrije dag: donderdag,False,False,donderdag
JT313,313,elke dag,non-dense,dynamisch,dynamisch,auto,09:45,17:51,PakSat aanvang 8u20- Vrije dag: donderdag,False,False,donderdag
JT314,314,elke dag,non-dense,dynamisch,dynamisch,auto,09:45,17:51,PakSat aanvang 8u20- Vrije dag: vrijdag,False,False,vrijdag
JT315,315,elke dag,non-dense,dynamisch,dynamisch,auto,09:45,17:51,PakSat aanvang 8u20- Vrije dag: vrijdag,False,False,vrijdag
JT316,316,elke dag,non-dense,dynamisch,dynamisch,auto,09:45,17:51,PakSat aanvang 8u20- Vrije dag: vrijdag,False,False,vrijdag
JT317,317,elke dag,non-dense,dynamisch,dynamisch,auto,09:45,17:51,PakSat aanvang 8u20- Vrije dag: vrijdag,False,False,vrijdag
JU318,318,elke dag,non-dense,dynamisch,dynamisch,auto,09:45,17:51,PakSat aanvang 8u20- Vrije dag: maandag,False,False,maandag
JU319,319,elke dag,non-dense,dynamisch,dynamisch,auto,09:45,17:51,PakSat aanvang 8u20- Vrije dag: vrijdag,False,False,vrijdag
